dimDate[Date],dimDate[Year],dimDate[QuarterNo],dimDate[Quarter],dimDate[MonthNo],dimDate[Month],dimDate[WeekdayNo],dimDate[Weekday],dimDate[Week]
7/1/2020 0:00,2020,3,Q3,7,Jul,4,Wed,27
7/2/2020 0:00,2020,3,Q3,7,Jul,5,Thu,27
7/3/2020 0:00,2020,3,Q3,7,Jul,6,Fri,27
7/4/2020 0:00,2020,3,Q3,7,Jul,7,Sat,27
7/5/2020 0:00,2020,3,Q3,7,Jul,1,Sun,28
7/6/2020 0:00,2020,3,Q3,7,Jul,2,Mon,28
7/7/2020 0:00,2020,3,Q3,7,Jul,3,Tue,28
7/8/2020 0:00,2020,3,Q3,7,Jul,4,Wed,28
7/9/2020 0:00,2020,3,Q3,7,Jul,5,Thu,28
7/10/2020 0:00,2020,3,Q3,7,Jul,6,Fri,28
7/11/2020 0:00,2020,3,Q3,7,Jul,7,Sat,28
7/12/2020 0:00,2020,3,Q3,7,Jul,1,Sun,29
7/13/2020 0:00,2020,3,Q3,7,Jul,2,Mon,29
7/14/2020 0:00,2020,3,Q3,7,Jul,3,Tue,29
7/15/2020 0:00,2020,3,Q3,7,Jul,4,Wed,29
7/16/2020 0:00,2020,3,Q3,7,Jul,5,Thu,29
7/17/2020 0:00,2020,3,Q3,7,Jul,6,Fri,29
7/18/2020 0:00,2020,3,Q3,7,Jul,7,Sat,29
7/19/2020 0:00,2020,3,Q3,7,Jul,1,Sun,30
7/20/2020 0:00,2020,3,Q3,7,Jul,2,Mon,30
7/21/2020 0:00,2020,3,Q3,7,Jul,3,Tue,30
7/22/2020 0:00,2020,3,Q3,7,Jul,4,Wed,30
7/23/2020 0:00,2020,3,Q3,7,Jul,5,Thu,30
7/24/2020 0:00,2020,3,Q3,7,Jul,6,Fri,30
7/25/2020 0:00,2020,3,Q3,7,Jul,7,Sat,30
7/26/2020 0:00,2020,3,Q3,7,Jul,1,Sun,31
7/27/2020 0:00,2020,3,Q3,7,Jul,2,Mon,31
7/28/2020 0:00,2020,3,Q3,7,Jul,3,Tue,31
